Section,Distance (km),Sub Distance (km),skid,Latitude,Longitude
0102100F02,81.507,11.995,0.206666663,13.7133029,100.5734272
0102100F02,81.512,12,0.119999997,13.7133065,100.5734731
0102100F02,81.517,12.005,0.159999982,13.7133107,100.5735185
0102100F02,81.522,12.01,0.159999996,13.7133137,100.5735651
0102100F02,81.527,12.015,0.189999998,13.7133166,100.5736118
0102100F02,81.532,12.02,0.185000002,13.7133182,100.5736574
0102100F02,81.537,12.025,0.213333324,13.713321,100.5737028
0102100F02,81.542,12.03,0.25,13.713321,100.5737503
0102100F02,81.547,12.035,0.24000001,13.7133209,100.5737967
0102100F02,81.552,12.04,0.216666654,13.71332,100.5738442
0102100F02,81.557,12.045,0.215000004,13.713319,100.5738903
0102100F02,81.562,12.05,0.215000004,13.7133176,100.5739358
0102100F02,81.567,12.055,0.24333334,13.7133154,100.5739825
0102100F02,81.572,12.06,0.25,13.7133124,100.574028
0102100F02,81.577,12.065,0.254999995,13.7133104,100.574074
0102100F02,81.582,12.07,0.239999995,13.7133071,100.5741199
0102100F02,81.587,12.075,0.24000001,13.7133034,100.574166
0102100F02,81.592,12.08,0.224999994,13.7132989,100.5742125
0102100F02,81.597,12.085,0.234999999,13.7132939,100.5742584
0102100F02,81.602,12.09,0.230000004,13.7132881,100.5743036
0102100F02,81.607,12.095,0.234999999,13.7132812,100.574349
0102100F02,81.612,12.1,0.230000004,13.7132735,100.5743946
0102100F02,81.617,12.105,0.223333314,13.7132651,100.5744398
0102100F02,81.622,12.11,0.229999989,13.7132563,100.5744859
0102100F02,81.627,12.115,0.239999995,13.7132473,100.574531
0102100F02,81.632,12.12,0.233333334,13.7132381,100.5745751
0102100F02,81.637,12.125,0.220000014,13.7132278,100.5746198
0102100F02,81.642,12.13,0.219999999,13.7132169,100.5746649
0102100F02,81.647,12.135,0.183333337,13.7132057,100.5747101
0102100F02,81.652,12.14,0.216666654,13.7131939,100.5747541
0102100F02,81.657,12.145,0.145000011,13.7131818,100.5747986
0102100F02,81.662,12.15,0.135000005,13.7131693,100.5748432
