Section,Distance (km),Sub Distance (km),GNaverage,Latitude,Longitude
0102100F01,43.978,11.76,0.200000003,13.7128361,100.57125
0102100F01,43.983,11.765,0.193333328,13.7128464,100.5712953
0102100F01,43.988,11.77,0.204999998,13.7128568,100.5713412
0102100F01,43.993,11.775,0.209999993,13.7128669,100.5713866
0102100F01,43.998,11.78,0.226666674,13.7128771,100.5714323
0102100F01,44.003,11.785,0.226666674,13.7128859,100.5714748
0102100F01,44.008,11.79,0.215000004,13.7128947,100.5715166
0102100F01,44.013,11.795,0.206666663,13.7129042,100.5715616
0102100F01,44.018,11.8,0.196666658,13.7129138,100.5716063
0102100F01,44.023,11.805,0.189999998,13.7129236,100.5716512
0102100F01,44.028,11.81,0.185000002,13.7129336,100.571696
0102100F01,44.033,11.815,0.176666677,13.7129434,100.5717408
0102100F01,44.038,11.82,0.194999993,13.7129528,100.5717859
0102100F01,44.043,11.825,0.194999993,13.7129621,100.5718308
0102100F01,44.048,11.83,0.180000007,13.7129718,100.5718764
0102100F01,44.053,11.835,0.180000007,13.7129817,100.5719217
0102100F01,44.058,11.84,0.219999999,13.7129915,100.571967
0102100F01,44.063,11.845,0.206666663,13.7130012,100.5720128
0102100F01,44.068,11.85,0.193333328,13.7130107,100.5720579
0102100F01,44.073,11.855,0.215000004,13.7130209,100.5721032
0102100F01,44.078,11.86,0.193333328,13.7130316,100.5721484
0102100F01,44.083,11.865,0.186666667,13.7130421,100.5721932
0102100F01,44.088,11.87,0.180000007,13.7130523,100.5722384
0102100F01,44.093,11.875,0.200000003,13.7130625,100.5722835
0102100F01,44.098,11.88,0.160000011,13.7130724,100.5723281
0102100F01,44.103,11.885,0.180000007,13.7130818,100.5723721
0102100F01,44.108,11.89,0.189999998,13.7130911,100.5724159
0102100F01,44.113,11.895,0.183333337,13.713101,100.5724608
0102100F01,44.118,11.9,0.180000007,13.7131111,100.5725063
0102100F01,44.123,11.905,0.164999992,13.7131213,100.5725517
0102100F01,44.128,11.91,0.176666677,13.7131311,100.572597
0102100F01,44.133,11.915,0.153333336,13.713141,100.5726426
0102100F01,44.138,11.92,0.145000011,13.7131506,100.5726878
0102100F01,44.143,11.925,0.170000002,13.7131597,100.5727333
0102100F01,44.148,11.93,0.166666672,13.7131688,100.5727788
0102100F01,44.153,11.935,0.199999988,13.7131778,100.572824
0102100F01,44.158,11.94,0.140000001,13.7131869,100.572869
0102100F01,44.163,11.945,0.216666654,13.7131959,100.5729133
0102100F01,44.168,11.95,0.199999988,13.7132043,100.5729585
0102100F01,44.173,11.955,0.209999993,13.7132126,100.5730027
0102100F01,44.178,11.96,0.220000014,13.7132207,100.5730468
0102100F01,44.183,11.965,0.219999999,13.7132287,100.5730937
0102100F01,44.188,11.97,0.189999998,13.7132365,100.5731397
0102100F01,44.193,11.975,0.243333325,13.7132439,100.5731846
0102100F01,44.198,11.98,0.289999992,13.7132507,100.5732294
0102100F01,44.203,11.985,0.200000003,13.7132575,100.5732736
0102100F01,44.208,11.99,0.220000014,13.7132637,100.5733174
0102100F01,44.213,11.995,0.203333333,13.713268,100.5733648
0102100F01,44.218,12,0.215000004,13.7132724,100.573412
0102100F01,44.223,12.005,0.200000003,13.7132767,100.5734587
0102100F01,44.228,12.01,0.226666674,13.7132801,100.5735048
0102100F01,44.233,12.015,0.25,13.7132835,100.5735504
0102100F01,44.238,12.02,0.25,13.7132868,100.5735962
0102100F01,44.243,12.025,0.25333333,13.713289,100.5736424
0102100F01,44.248,12.03,0.264999986,13.7132905,100.5736888
0102100F01,44.253,12.035,0.224999994,13.713292,100.5737353
0102100F01,44.258,12.04,0.189999998,13.7132928,100.5737817
0102100F01,44.263,12.045,0.213333324,13.7132922,100.5738277
0102100F01,44.268,12.05,0.234999999,13.7132916,100.5738737
0102100F01,44.273,12.055,0.320000023,13.7132909,100.5739198
0102100F01,44.278,12.06,0.360000014,13.7132888,100.5739658
0102100F01,44.283,12.065,0.355000019,13.7132867,100.5740121
0102100F01,44.288,12.07,0.370000005,13.7132845,100.5740581
0102100F01,44.293,12.075,0.386666656,13.7132809,100.5741041
0102100F01,44.298,12.08,0.405000001,13.7132766,100.5741501
0102100F01,44.303,12.085,0.394999981,13.7132724,100.5741961
0102100F01,44.308,12.09,0.373333335,13.7132676,100.5742413
0102100F01,44.313,12.095,0.379999995,13.7132621,100.5742854
0102100F01,44.318,12.1,0.379999995,13.7132567,100.5743294
0102100F01,44.323,12.105,0.386666656,13.7132507,100.5743737
0102100F01,44.328,12.11,0.403333336,13.7132422,100.5744186
0102100F01,44.333,12.115,0.400000006,13.7132336,100.5744634
0102100F01,44.338,12.12,0.389999986,13.7132251,100.5745085
0102100F01,44.343,12.125,0.396666646,13.7132149,100.5745532
0102100F01,44.348,12.13,0.379999995,13.7132046,100.5745978
0102100F01,44.353,12.135,0.370000005,13.7131943,100.5746426
0102100F01,44.358,12.14,0.379999995,13.713183,100.5746875
0102100F01,44.363,12.145,0.389999986,13.713171,100.5747328
0102100F01,44.368,12.15,0.409999996,13.7131591,100.5747776
0102100F01,44.373,12.155,0.406666666,13.7131468,100.5748221
0102100F01,44.378,12.16,0.409999996,13.7131337,100.5748667
0102100F01,44.383,12.165,0.409999996,13.7131205,100.5749112
